12,12,173,50,8,8,1
13,13,95,30,8,16,2
14,14,101,40,8,16,2
15,15,46,50,8,5,2
16,16,95,80,8,8,2
17,17,99,40,8,16,2
18,18,95,50,8,8,2
19,19,34,10,6,5,2
20,20,122,50,8,8,6
21,21,47,1,10,4,6
22,22,57,50,8,4,6
23,23,58,50,8,4,6
24,24,52,60,8,4,6
25,25,54,1,10,4,6
26,26,61,1,10,4,6
27,27,52,1,10,4,6
28,28,53,1,10,4,6
29,29,23,1,10,3,3
30,30,23,1,10,3,3
31,31,22,1,10,3,3
32,32,50,1,10,3,4
33,33,123,50,8,8,3
34,34,52,50,8,4,3
35,35,174,1,10,4,3
36,36,175,1,10,4,3
37,37,64,60,8,4,3
38,38,48,50,8,4,3
39,39,53,70,8,4,3
40,40,22,1,10,3,5
41,41,24,1,10,3,5
42,42,127,1,10,3,5
43,43,23,1,10,3,5
44,44,138,1,10,3,5
45,45,137,1,10,3,5
46,46,22,70,8,3,5
47,47,22,80,8,3,8
48,48,24,70,8,3,8
49,49,24,1,10,3,8
50,50,22,1,10,3,8
51,51,122,60,8,8,6
52,52,55,1,10,4,6
53,53,142,70,8,12,6
54,54,47,1,10,4,6
55,55,46,70,8,5,6
56,56,50,80,8,4,6
57,57,47,1,10,4,6
58,58,93,50,8,8,6
59,59,137,50,8,8,6
60,60,149,1,10,4,7
61,61,149,1,10,4,7
62,62,55,1,10,4,7
63,63,150,1,10,4,7
64,64,151,1,10,4,7
65,65,152,1,10,4,7
66,66,154,1,10,4,7
67,67,142,1,10,4,7
68,68,24,1,10,3,8
69,69,22,1,10,3,8
70,70,24,1,10,3,8
71,71,157,70,8,3,8
72,72,156,70,8,3,8
73,73,22,1,10,3,8
74,74,23,1,10,3,8
75,75,24,1,10,3,8
76,76,35,50,8,5,9
77,77,64,70,8,4,9
78,78,63,1,10,4,9
79,79,63,1,10,4,9
80,80,64,70,8,4,9
81,81,40,50,8,6,9
82,82,174,80,8,4,6
83,83,31,50,8,3,10
84,84,52,50,8,4,10
85,85,50,80,8,4,10
86,86,91,40,8,4,10
87,87,22,60,8,3,10
88,88,56,40,8,4,10
89,89,165,1,10,7,11
90,90,166,1,10,7,11
91,91,34,5,5,5,11
92,92,169,5,5,16,11
93,93,175,5,5,5,11
94,94,49,10,8,4,11
95,95,75,10,8,4,11
96,96,81,10,8,8,11
97,97,177,10,8,12,11
98,98,178,10,8,12,11
99,99,171,50,9,10,11
100,100,24,1,10,3,5
